The top 10 users who have the maximum followers: 


1. UserName: eshaLegal - Number of followers are: 9813


2. UserName: ï»¿vj_budhiraja - Number of followers are: 95


3. UserName: ArjunKamalesh - Number of followers are: 94


4. UserName: Shivanjay241113 - Number of followers are: 936


5. UserName: tanjorecoffee - Number of followers are: 917


6. UserName: creativedonkey - Number of followers are: 85


7. UserName: ToofanTweets - Number of followers are: 8308


8. UserName: SatharIrshad - Number of followers are: 7


9. UserName: BhupenKBorah - Number of followers are: 6857


10. UserName: indiavolunteer - Number of followers are: 671


